mu,Delta,Gap
-3.879396984924623,1.431578947368421,1.8823675401194497
-3.879396984924623,1.5263157894736843,1.8826361318811473
-3.879396984924623,1.6210526315789473,1.8829208182734591
-3.879396984924623,1.7157894736842105,1.8832214587575271
-3.879396984924623,1.8105263157894738,1.883537913563693
-3.879396984924623,1.9052631578947368,1.8838700437364606
-3.879396984924623,2.0,1.8842177111645755
-3.8391959798994977,0.2,1.840204236049987
-3.8391959798994977,0.2947368421052632,1.8402520049711282
-3.8391959798994977,0.3894736842105263,1.840317961322598
-3.8391959798994977,0.4842105263157895,1.840402010031709
-3.8391959798994977,0.5789473684210527,1.8405040390427727
-3.8391959798994977,0.6736842105263159,1.8406239236479418
-3.8391959798994977,0.7684210526315789,1.84076153015672
-3.8391959798994977,0.8631578947368421,1.8409167187865103
-3.8391959798994977,0.9578947368421054,1.8410893458208704
-3.8391959798994977,1.0526315789473684,1.8412792651595622
-3.8391959798994977,1.1473684210526316,1.841486329401314
-3.8391959798994977,1.2421052631578948,1.841710390585827
-3.8391959798994977,1.3368421052631578,1.8419513006957735
-3.8391959798994977,1.431578947368421,1.842208911993728
-3.8391959798994977,1.5263157894736843,1.842483077247184
-3.8391959798994977,1.6210526315789473,1.842773649878589
-3.8391959798994977,1.7157894736842105,1.8430804840652053
-3.8391959798994977,1.8105263157894738,1.8434034348057158
-3.8391959798994977,1.9052631578947368,1.8437423579646042
-3.8391959798994977,2.0,1.8440971103018489
-3.798994974874372,0.2,1.800004134883242
-3.798994974874372,0.2947368421052632,1.8000529597379664
-3.798994974874372,0.3894736842105263,1.8001203711092186
-3.798994974874372,0.4842105263157895,1.8002062693638377
-3.798994974874372,0.5789473684210527,1.8003105372330326
-3.798994974874372,0.6736842105263159,1.8004330443851702
-3.798994974874372,0.7684210526315789,1.80057365127568
-3.798994974874372,0.8631578947368421,1.80073221215976
-3.798994974874372,0.9578947368421054,1.8009085773270546
-3.798994974874372,1.0526315789473684,1.8011025946963481
-3.798994974874372,1.1473684210526316,1.8013141109227544
-3.798994974874372,1.2421052631578948,1.8015429721521221
-3.798994974874372,1.3368421052631578,1.8017890245287176
-3.798994974874372,1.431578947368421,1.8020521145342574
-3.798994974874372,1.5263157894736843,1.8023320892133283
-3.798994974874372,1.6210526315789473,1.8026287963230432
-3.798994974874372,1.7157894736842105,1.8029420844323012
-3.798994974874372,1.8105263157894738,1.8032718029877446
-3.798994974874372,1.9052631578947368,1.8036178023576153
-3.798994974874372,2.0,1.8039799338609726
-3.758793969849246,0.2,1.7598040746851658
-3.758793969849246,0.2947368421052632,1.7598540032389247
-3.758793969849246,0.3894736842105263,1.7599229352920491
-3.758793969849246,0.4842105263157895,1.7600107663212121
-3.758793969849246,0.5789473684210527,1.7601173734775781
-3.758793969849246,0.6736842105263159,1.7602426204196946
-3.758793969849246,0.7684210526315789,1.7603863613556843
-3.758793969849246,0.8631578947368421,1.7605484441848787
-3.758793969849246,0.9578947368421054,1.7607287128123614
-3.758793969849246,1.0526315789473684,1.7609270087897708
-3.758793969849246,1.1473684210526316,1.7611431724474296
-3.758793969849246,1.2421052631578948,1.7613770436612046
-3.758793969849246,1.3368421052631578,1.7616284623657779
-3.758793969849246,1.431578947368421,1.7618972688956633
-3.758793969849246,1.5263157894736843,1.762183304210942
-3.758793969849246,1.6210526315789473,1.7624864100464395
-3.758793969849246,1.7157894736842105,1.762806429010352
-3.758793969849246,1.8105263157894738,1.7631432046495212
-3.758793969849246,1.9052631578947368,1.7634965814927661
-3.758793969849246,2.0,1.7638664050796697
-3.7185929648241207,0.2,1.7196040583076218
-3.7185929648241207,0.2947368421052632,1.7196551416431436
-3.7185929648241207,0.3894736842105263,1.7197256645881522
-3.7185929648241207,0.4842105263157895,1.7198155173673757
-3.7185929648241207,0.5789473684210527,1.7199245711500442
-3.7185929648241207,0.6736842105263159,1.7200526831628737
-3.7185929648241207,0.7684210526315789,1.7201997009373653
-3.7185929648241207,0.8631578947368421,1.7203654655876068
-3.7185929648241207,0.9578947368421054,1.7205498142082702
-3.7185929648241207,1.0526315789473684,1.7207525815630709
-3.7185929648241207,1.1473684210526316,1.7209736012422994
-3.7185929648241207,1.2421052631578948,1.7212127064422018
-3.7185929648241207,1.3368421052631578,1.7214697304837212
-3.7185929648241207,1.431578947368421,1.7217445071553892
-3.7185929648241207,1.5263157894736843,1.7220368709392035
-3.7185929648241207,1.6210526315789473,1.7223466571593247
-3.7185929648241207,1.7157894736842105,1.7226737020799776
-3.7185929648241207,1.8105263157894738,1.7230178429700385
-3.7185929648241207,1.9052631578947368,1.723378918145856
-3.7185929648241207,2.0,1.723756766999586
-3.678391959798995,0.2,1.6794040888735895
-3.678391959798995,0.2947368421052632,1.6794563817054042
-3.678391959798995,0.3894736842105263,1.6795285707301726
-3.678391959798995,0.4842105263157895,1.679620540522805
-3.678391959798995,0.5789473684210527,1.6797321558295935
-3.678391959798995,0.6736842105263159,1.6798632669831175
-3.678391959798995,0.7684210526315789,1.6800137143685967
-3.678391959798995,0.8631578947368421,1.680183331845617
-3.678391959798995,0.9578947368421054,1.6803719492333078
-3.678391959798995,1.0526315789473684,1.6805793940480438
-3.678391959798995,1.1473684210526316,1.6808054926868616
-3.678391959798995,1.2421052631578948,1.681050071219384
-3.678391959798995,1.3368421052631578,1.6813129559118873
-3.678391959798995,1.431578947368421,1.6815939735719267
-3.678391959798995,1.5263157894736843,1.6818929517742844
-3.678391959798995,1.6210526315789473,1.6822097190090555
-3.678391959798995,1.7157894736842105,1.682544104778796
-3.678391959798995,1.8105263157894738,1.6828959396624679
-3.678391959798995,1.9052631578947368,1.683265055357634
-3.678391959798995,2.0,1.683651284708441
-3.6381909547738696,0.2,1.6392041698101791
-3.6381909547738696,0.2947368421052632,1.6392577308373484
-3.6381909547738696,0.3894736842105263,1.639331666589576
-3.6381909547738696,0.4842105263157895,1.639425855553458
-3.6381909547738696,0.5789473684210527,1.6395401555673228
-3.6381909547738696,0.6736842105263159,1.6396744095621523
-3.6381909547738696,0.7684210526315789,1.6398284502620357
-3.6381909547738696,0.8631578947368421,1.6400021037581014
-3.6381909547738696,0.9578947368421054,1.6401951920848614
-3.6381909547738696,1.0526315789473684,1.6404075350087075
-3.6381909547738696,1.1473684210526316,1.640638951237726
-3.6381909547738696,1.2421052631578948,1.640889259226099
-3.6381909547738696,1.3368421052631578,1.6411582777034237
-3.6381909547738696,1.431578947368421,1.641445826020872
-3.6381909547738696,1.5263157894736843,1.641751724377118
-3.6381909547738696,1.6210526315789473,1.6420757939657054
-3.6381909547738696,1.7157894736842105,1.6424178570714543
-3.6381909547738696,1.8105263157894738,1.6427777371336802
-3.6381909547738696,1.9052631578947368,1.6431552587878238
-3.6381909547738696,2.0,1.6435502478931483
-3.5979899497487438,0.2,1.5990043048865799
-3.5979899497487438,0.2947368421052632,1.5990591971893025
-3.5979899497487438,0.3894736842105263,1.5991349663182617
-3.5979899497487438,0.4842105263157895,1.599231484187312
-3.5979899497487438,0.5789473684210527,1.5993486011922382
-3.5979899497487438,0.6736842105263159,1.5994861523041053
-3.5979899497487438,0.7684210526315789,1.599643962020259
-3.5979899497487438,0.8631578947368421,1.59982184809927
-3.5979899497487438,0.9578947368421054,1.600019624232615
-3.5979899497487438,1.0526315789473684,1.6002371018856025
-3.5979899497487438,1.1473684210526316,1.600474091533973
-3.5979899497487438,1.2421052631578948,1.600730403480872
-3.5979899497487438,1.3368421052631578,1.6010058483911167
-3.5979899497487438,1.431578947368421,1.6013002376388292
-3.5979899497487438,1.5263157894736843,1.6016133835331452
-3.5979899497487438,1.6210526315789473,1.6019450994648652
-3.5979899497487438,1.7157894736842105,1.602295200002021
-3.5979899497487438,1.8105263157894738,1.6026635009523886
-3.5979899497487438,1.9052631578947368,1.603049819404623
-3.5979899497487438,2.0,1.6034539737554967
-3.557788944723618,0.2,1.5588044982578706
-3.557788944723618,0.2947368421052632,1.5588607897447107
-3.557788944723618,0.3894736842105263,1.5589384855118789
